33	34	128    133    153
34	128	129    133    153
34	129	133    134    153
28	33	53    152    153
28	33	128    152    153
33	53	58    152    153
33	128	133    152    153
29	30	34    54    154
29	30	34    129    154
30	34	35    54    154
30	34	35    129    154
30	35	54    55    154
34	35	54    59    154
35	54	55    59    154
35	55	59    60    154
30	35	129    130    154
34	35	129    134    154
35	129	130    134    154
35	130	134    135    154
29	34	54    153    154
29	34	129    153    154
34	54	59    153    154
34	129	134    153    154
30	35	55    154    155
30	35	130    154    155
35	55	60    154    155
35	130	135    154    155
31	32	36    56    156
31	32	36    131    156
32	36	37    56    156
32	36	37    131    156
32	37	56    57    156
36	37	56    61    156
37	56	57    61    156
37	57	61    62    156
32	37	131    132    156
36	37	131    136    156
37	131	132    136    156
37	132	136    137    156
31	32	56    151    156
31	32	131    151    156
32	56	57    151    156
32	131	132    151    156
32	57	151    152    156
32	132	151    152    156
32	33	37    57    157
32	33	37    132    157
33	37	38    57    157
33	37	38    132    157
33	38	57    58    157
37	38	57    62    157
38	57	58    62    157
38	58	62    63    157
33	38	132    133    157
37	38	132    137    157
38	132	133    137    157
38	133	137    138    157
32	33	57    152    157
32	33	132    152    157
33	57	58    152    157
33	132	133    152    157
33	58	152    153    157
33	133	152    153    157
32	37	57    156    157
32	37	132    156    157
37	57	62    156    157
37	132	137    156    157
32	57	152    156    157
32	132	152    156    157
33	34	38    58    158
33	34	38    133    158
34	38	39    58    158
34	38	39    133    158
34	39	58    59    158
38	39	58    63    158
39	58	59    63    158
39	59	63    64    158
34	39	133    134    158
38	39	133    138    158
39	133	134    138    158
39	134	138    139    158
33	34	58    153    158
33	34	133    153    158
34	58	59    153    158
34	133	134    153    158
34	59	153    154    158
34	134	153    154    158
33	38	58    157    158
33	38	133    157    158
38	58	63    157    158
38	133	138    157    158
33	58	153    157    158
33	133	153    157    158
34	35	39    59    159
34	35	39    134    159
35	39	40    59    159
35	39	40    134    159
35	40	59    60    159
39	40	59    64    159
40	59	60    64    159
40	60	64    65    159
35	40	134    135    159
39	40	134    139    159
40	134	135    139    159
40	135	139    140    159
34	35	59    154    159
34	35	134    154    159
35	59	60    154    159
35	134	135    154    159
35	60	154    155    159
35	135	154    155    159
34	39	59    158    159
34	39	134    158    159
39	59	64    158    159
39	134	139    158    159
34	59	154    158    159
34	134	154    158    159
35	40	60    159    160
35	40	135    159    160
40	60	65    159    160
40	135	140    159    160
35	60	155    159    160
35	135	155    159    160
36	37	41    61    161
36	37	41    136    161
37	41	42    61    161
37	41	42    136    161
37	42	61    62    161
41	42	61    66    161
42	61	62    66    161
42	62	66    67    161
37	42	136    137    161
41	42	136    141    161
42	136	137    141    161
42	137	141    142    161
36	37	61    156    161
36	37	136    156    161
37	61	62    156    161
37	136	137    156    161
37	62	156    157    161
37	137	156    157    161
37	38	42    62    162
37	38	42    137    162
38	42	43    62    162
38	42	43    137    162
38	43	62    63    162
42	43	62    67    162
43	62	63    67    162
43	63	67    68    162
38	43	137    138    162
42	43	137    142    162
43	137	138    142    162
43	138	142    143    162
37	38	62    157    162
37	38	137    157    162
38	62	63    157    162
38	137	138    157    162
38	63	157    158    162
38	138	157    158    162
37	42	62    161    162
37	42	137    161    162
42	62	67    161    162
42	137	142    161    162
37	62	157    161    162
37	137	157    161    162
38	39	43    63    163
38	39	43    138    163
39	43	44    63    163
39	43	44    138    163
39	44	63    64    163
43	44	63    68    163
44	63	64    68    163
44	64	68    69    163
39	44	138    139    163
43	44	138    143    163
44	138	139    143    163
44	139	143    144    163
38	39	63    158    163
38	39	138    158    163
39	63	64    158    163
39	138	139    158    163
39	64	158    159    163
39	139	158    159    163
38	43	63    162    163
38	43	138    162    163
43	63	68    162    163
43	138	143    162    163
38	63	158    162    163
38	138	158    162    163
39	40	44    64    164
39	40	44    139    164
40	44	45    64    164
40	44	45    139    164
40	45	64    65    164
44	45	64    69    164
45	64	65    69    164
45	65	69    70    164
40	45	139    140    164
44	45	139    144    164
45	139	140    144    164
45	140	144    145    164
39	40	64    159    164
39	40	139    159    164
40	64	65    159    164
40	139	140    159    164
40	65	159    160    164
40	140	159    160    164
