fundraiser_name,fundraiser_type,organizations,public_numbers,start_date,end_date,address,status,expected_donation,credited,org_type,,
Phi Chi Theta Ribbon Sale at the Student Bookstore Benefitting THON,Item Sale,Phi Chi Theta ,206,1/19/2024,1/19/2024,The Student Bookstore: 330 E COLLEGE AVE  STATE COLLEGE PA 16801,Approved,100,30,General,,
Phi Chi Theta Ribbon Sale at The Field Benefitting THON,Item Sale,Phi Chi Theta ,206,1/19/2024,1/19/2024,The Field Burger and Tap: 1 COUNTRY CLUB LN  STATE COLLEGE PA 16803,Approved,100,77,General,,
Ayuda X Ribbon Sale Benefitting THON,Item Sale,Ayuda ,1923,1/19/2024,1/19/2024,St. Paul's United Methodist Church: 250 E COLLEGE AVE  STATE COLLEGE PA 16801,Denied,100,,Special Interest,,
Club Swimming's Ribbon and Sticker Sale Benefitting THON,Item Sale,Club Swimming ,302,1/20/2024,1/20/2024,"McCoy Natatorium: Bigler and Curtain Rd, University Park, PA 16802:",Approved,50,84,General,,
Behrend Ribbon Sales at Walmart Benefitting THON,Item Sale,Behrend,73,1/20/2024,1/20/2024,Walmart Supercenter: 1825 DOWNS DR  ERIE PA 16509,Approved,150,,Commonwealth,,
Club Gymnastics Ribbon Sale Benefitting THON,Item Sale,Club Gymnastics Club Gym,161,1/20/2024,1/20/2024,White Building:     ,Approved,100,29,General,,
Bagel and Coffee Delivery Benefitting THON,Item Sale,Alpha Tau Omega ATO & Zeta Tau Alpha,1 & 2,1/20/2024,1/20/2024,Pugh Center: 150 E BEAVER AVE  STATE COLLEGE PA 16801,Approved,100,175,Greek,,
Sigma Kappa Breakfast Sandwiches Benefitting THON,Item Sale,Sigma Kappa,35,1/21/2024,1/21/2024,Lyons Hall:     ,Canceled,150,,Greek,,
Phi Chi Theta Ribbon Sale at The Field Benefitting THON,Item Sale,Phi Chi Theta ,206,1/21/2024,1/21/2024,The Field Burger and Tap: 1 COUNTRY CLUB LN  STATE COLLEGE PA 16803,Approved,100,57,General,,
Behrend Ribbon Sales at Walmart Benefitting THON,Item Sale,Behrend,73,1/21/2024,1/21/2024,Walmart Supercenter: 1825 DOWNS DR  ERIE PA 16509,Approved,150,118.52,Commonwealth,,
Phi Chi Theta Bracelet Fundraiser Benefitting THON,Item Sale,Phi Chi Theta ,206,1/22/2024,1/22/2024,,Canceled,100,,General,,
Common Ground Coffee Sale Benefitting THON,Item Sale,York,170,1/22/2024,2/3/2024,Penn State York:     ,Approved,100,295,Commonwealth,,
Keychains Benefitting THON,Item Sale,American Institute of Architecture Students AIAS,389,1/22/2024,1/22/2024,Stuckeman Family Building:     ,Approved,20,30,General,,
Valentine's Benefitting THON,Item Sale,Club Track and Field ,270,1/22/2024,2/4/2024,,Approved,250,304.5,General,,
Basket Bingo Benefitting THON,Item Sale,Fayette,44,1/22/2024,1/28/2024,Penn State Fayette- The Elberly Campus:     ,Approved,5000,,Commonwealth,,
Raffle Benefitting THON,Item Sale,Fayette,44,1/22/2024,1/31/2024,Penn State Fayette- The Elberly Campus:     ,Approved,8000,,Commonwealth,,
Ribbon Fundraiser Benefitting THON,Item Sale,Omega Chi Sigma & Omega Phi Alpha OphiA,48 & 2440,1/23/2024,1/25/2024,,Approved,45,10,General,,
Breakfast Bagel Sandwich Sale Benefitting THON,Item Sale,Club Crew ,201,1/23/2024,1/23/2024,Member's Apartment: 254 E BEAVER AVE Apt 306 STATE COLLEGE PA 16801,Approved,100,100,General,,
Pancake Breakfast Benefitting THON,Item Sale,Hailey Gerhart and Elisa Kopicki (2024),3122,12/30/2023,12/30/2023,Flatland Church: 180 W THATCHER RD  QUAKERTOWN PA 18951,Approved,1000,1079,Independent Couple,,
Infinity Superbowl Watch Party Goody Baskets Benefitting THON,Item Sale,Infinity ,3063,1/23/2024,2/3/2024,,Approved,1500,,Special Interest,,
Phi Chi Theta Permanent Jewelry Fundraiser Benefitting THON,Item Sale,Phi Chi Theta ,206,1/23/2024,1/23/2024,Park Hill Apartments: 478 E BEAVER AVE  STATE COLLEGE PA 16801,Canceled,100,,General,,
Mack Madness Ribbon & Craft Sale Benefitting THON,Item Sale,"Mack Madness ""Mackie""",2685,1/24/2024,1/24/2024,HUB Information Table:     ,Approved,50,30,Special Interest,,
Eclipse Toolkit Benefitting THON,Item Sale,Eclipse ,2020,1/24/2024,1/26/2024,,Approved,100,90,Special Interest,,
Eclipse Stickers Benefitting THON,Item Sale,Eclipse ,2020,1/24/2024,2/5/2024,,Approved,75,50,Special Interest,,
Eclipse Phone Wallets and Bracelets Benefitting THON,Item Sale,Eclipse ,2020,1/24/2024,2/5/2024,,Approved,150,124,Special Interest,,
Penn State Lehigh Valley Children's Book Drive Benefitting THON,Item Sale,Lehigh Valley,113,1/25/2024,2/1/2024,Penn State Lehigh Valley:     ,Approved,500,0,Commonwealth,,
Pie-A-Dancer Benefitting THON,Item Sale,Axis ,1747,1/25/2024,1/25/2024,Willard 258:,Approved,50,80,Special Interest,,
HSA Hot Chocolate Benefitting THON,Item Sale,Hellenic Student Association HSA,2434,1/25/2024,1/25/2024,Student Book Store: 330 E COLLEGE AVE  STATE COLLEGE PA 16801,Canceled,100,,General,,
Paige Gordons DR Committee X Pizza Fundraiser Benefitting THON,Item Sale,Incentives Coordinator & THON Dancer Relations,1006 & 364,1/25/2024,1/25/2024,Sackett Building:     ,Approved,120,130,joint,,
Axis Lion Shrine Benefitting THON,Item Sale,Axis ,1747,1/26/2024,1/26/2024,The Nittany Lion Shrine:     ,Approved,250,33,Special Interest,,
Phi Chi Theta Ribbon Sale at the Student Bookstore Benefitting THON,Item Sale,Phi Chi Theta ,206,1/26/2024,1/26/2024,The Student Bookstore: 330 E COLLEGE AVE  STATE COLLEGE PA 16801,Approved,100,3,General,,
Phi Chi Theta Ribbon Sale at The Field Benefitting THON,Item Sale,Phi Chi Theta ,206,1/26/2024,1/26/2024,The Field Burger and Tap:     ,Approved,100,26,General,,
Hot Chocolate and Cookie Fundraiser Benefitting THON,Bake Sale,Amelia Cassaday and Justin Nelson (2024),3082,1/3/2024,1/4/2024,Velocity Wings: 1020 E MAIN ST  PURCELLVILLE VA 20132,Approved,400,315,Independent Couple,,
Alpha Phi Omega Comic Book Sale Benefitting THON,Item Sale,Alpha Phi Omega ,54,1/26/2024,1/26/2024,Hub:     ,Approved,100,17,General,,
Axis Flower Sale Benefitting THON,Item Sale,Axis ,1747,1/26/2024,1/26/2024,First National Bank: 366 E COLLEGE AVE  STATE COLLEGE PA 16801,Approved,60,109.2,Special Interest,,
Epsilon Sigma Alpha Cookbook Benefitting THON,Item Sale,Epsilon Sigma Alpha ESA,562,1/26/2024,2/8/2024,,Approved,200,485,General,,
Schreyer StuCo Thrift Shop Benefitting THON,Item Sale,Schreyer Honors College Student Council SHC StuCo,1731,1/26/2024,1/26/2024,HUB Main Lounge Table #2:,Approved,100,35,General,,
Behrend Ribbon Sales at Walmart Benefitting THON,Item Sale,Behrend,73,1/27/2024,1/27/2024,Walmart Supercenter: 1825 DOWNS DR  ERIE PA 16509,Canceled,150,,Commonwealth,,
Phi Chi Theta Ribbon Sale at The Field Benefitting THON,Item Sale,Phi Chi Theta ,206,1/28/2024,1/28/2024,The Field Burger and Tap: 1 COUNTRY CLUB LN  STATE COLLEGE PA 16803,Approved,100,164,General,,
PSNtv: BINGO CARD X Benefitting THON,Item Sale,Penn State Network Television PSNtv,320,1/28/2024,2/2/2024,N/A:     ,Denied,50,,General,,
Altoona Poster Sale Benefitting THON,Item Sale,Altoona,165,1/29/2024,1/30/2024,Penn State Altoona:     ,Approved,500,,Commonwealth,,
Penn State Law Rock Painting Benefitting THON,Item Sale,Penn State Law,1552,1/29/2024,2/1/2024,Katz Building Atrium:     ,Approved,30,50,Commonwealth,,
Alpha Omicron Pi & Phi Kappa Psi x Neighbors Cookies Benefitting THON,Item Sale,Alpha Omicron Pi AOII & Phi Kappa Psi,8 & 32,1/29/2024,2/11/2024,,Approved,250,,Greek,,
Special Events Candy Grams Benefitting THON,Item Sale,THON Special Events,1011,1/29/2024,2/8/2024,,Approved,50,,joint,,
HOS School Musical Jewelry Benefitting THON,Item Sale,Hospitality - Promotions 1/2,384,1/29/2024,2/5/2024,HUB Robeson Center:     ,Approved,150,,joint,,
LLC button Fundraiser Benefitting THON,Item Sale,Leveraged Lion Capital LLC,2961,1/29/2024,2/11/2024,,Approved,50,42,General,,
Pie an Exec Member Benefitting THON,Item Sale,LimitlesS ,203,1/30/2024,1/30/2024,Fisher Plaza:     ,Approved,50,96,General,,
Candy Grams R&RAumen Noodles Benefitting THON,Item Sale,Pass Team 2,299,1/30/2024,2/5/2024,Lyons Hall:     ,Approved,90,117,joint,,
Trilogy Fanny Pack Fundraiser Benefitting THON,Item Sale,Trilogy ,10,1/30/2024,2/11/2024,Thomas Building:     ,Approved,300,309,Special Interest,,
THON SE Ribbon Sale Fundraiser Benefitting THON,Item Sale,THON History 1 & THON Special Events,1011 & 289,1/30/2024,1/30/2024,HUB-Robeson Center:     ,Approved,50,49.4,joint,,
Lion Ambassador Old Merch Garage Sale Benefitting THON,Item Sale,Lion Ambassadors ,83,1/30/2024,2/9/2024,,Approved,30,90,General,,
Vibe Coffee Co. Benefitting THON,Item Sale,Alpha Tau Omega ATO & Zeta Tau Alpha,1 & 2,1/31/2024,1/31/2024,Vibe Coffee Co.: 401 W BEAVER AVE  STATE COLLEGE PA 16801,Approved,100,0,Greek,,
Alpha Gamma Rho & Phi Sigma Sigma Friendship Bracelet Benefitting THON,Item Sale,Alpha Gamma Rho AGR & Phi Sigma Sigma Phi Sig,187 & 294,1/31/2024,1/31/2024,HUB-Robeson Center:     ,Canceled,1000,,Greek,,
Eclipse Phone Wallets and Bracelets Benefitting THON,Item Sale,Eclipse ,2020,1/31/2024,2/13/2024,Sparks Building:     ,Canceled,150,,Special Interest,,
Penn State PRSSA Headshot Fundraiser #3 Benefitting THON,Item Sale,Public Relations Student Society of America PRSSA,63,1/31/2024,1/31/2024,Willard Media Center:     ,Approved,200,87,General,,
Penn State CHAARG X Valentine's Candy Grams Benefitting THON,Item Sale,"Changing Health, Attitudes, and Actions To Recreate Girls at Penn State CHAARG",2098,1/31/2024,2/6/2024,,Approved,500,715,General,,
SDT Pasta Dinner Benefitting THON,Item Sale,Sigma Delta Tau,24,1/31/2024,1/31/2024,Haller Hall:     ,Approved,300,817,Greek,,
Paracord Bracelets Benefitting THON,Item Sale,Stewardship 1,2625,1/31/2024,2/7/2024,Thomas Building:     ,Approved,105,99.75,joint,,
The Big Game Boxes Sale Benefitting THON,Item Sale,Eclipse ,2020,1/31/2024,2/11/2024,,Canceled,700,,Special Interest,,
Charms Benefitting THON,Item Sale,World Campus,1318,1/31/2024,1/31/2024,Outreach Building:     ,Approved,50,17,Commonwealth,,
Snack & Item Sale at Benefit Concert x Apollo Benefitting THON,Item Sale,Apollo ,1745,2/1/2024,2/1/2024,Webster's Bookstore and Cafe: 133 E BEAVER AVE  STATE COLLEGE PA 16801,Approved,50,25,Special Interest,,
Valentine's Day Candy Sale Benefitting THON,Item Sale,Club Dodgeball ,471,2/1/2024,2/8/2024,HUB:     ,Action Needed,50,,General,,
SPSEA X Sticker Sale Benefitting THON,Item Sale,Student Pennsylvania State Education Association SPSEA,96,2/1/2024,2/2/2024,,Action Needed,100,,General,,
Tri-STATE Candy Gram Sale Benefitting THON,Item Sale,Tri-STATE ,1177,2/1/2024,2/1/2024,HUB-Robeson Center:     ,Approved,50,8,Special Interest,,
Ribbon Fundraiser- Resnick Manor x Benefitting THON,Item Sale,No Refund Theatre NRT,235,2/1/2024,2/3/2024,Forum 111:,Approved,50,19,General,,
Hot Chocolate Benefitting THON,Item Sale,Omega Chi Sigma,2440,2/1/2024,2/1/2024,Campus Steaks: 119 S PUGH ST  STATE COLLEGE PA 16801,Approved,100,88,General,,
Axis Lion Shrine Benefitting THON,Item Sale,Axis ,1747,2/2/2024,2/2/2024,The Nittany Lion Shrine:     ,Approved,150,74,Special Interest,,
FIN Button Pins Benefitting THON,Item Sale,THON Finance,1128,2/2/2024,2/2/2024,HUB:     ,Approved,100,48,joint,,
CSSA New Year Decoration Sale Benefitting THON,Item Sale,Chinese Students and Scholars Association CSSA,30,2/2/2024,2/2/2024,Mr. Wish: 320 E COLLEGE AVE  STATE COLLEGE PA 16801,Approved,400,557.6,NewMC,,
Family Relations Bow Sale Benefitting THON,Item Sale,THON Family Relations,1003,2/2/2024,2/2/2024,HUB Table:     ,Approved,100,41,joint,,
Kappa Delta X Jemini Jewelry Benefitting THON,Item Sale,Kappa Delta KD,26,2/2/2024,2/2/2024,The Maxxen: 131 HIESTER ST  STATE COLLEGE PA 16801,Approved,150,141,Greek,,
Delta Gamma Permanent Bracelet Making Benefitting THON,Item Sale,Delta Gamma,37,2/2/2024,2/2/2024,Delta Gamma Sorority Suite:     ,Approved,150,0,Greek,,
Phi Chi Theta Ribbon Sale at The Field Benefitting THON,Item Sale,Phi Chi Theta ,206,2/2/2024,2/2/2024,The Field Burger and Tap: 1 COUNTRY CLUB LN  STATE COLLEGE PA 16803,Approved,50,101,General,,
Garage Sale Benefitting THON,Item Sale,Gamma Phi Beta,16,2/2/2024,2/2/2024,Liv's (THON Chairs) Apartment: 251 E NITTANY AVE  STATE COLLEGE PA 16801,Approved,100,188,Greek,,
FOTO Pancake Breakfast Benefitting THON,Item Sale,FOTO ,1336,2/3/2024,2/3/2024,Nittany Apartments:     ,Approved,50,81,Special Interest,,
Penn State Lehigh Valley Ribbon Sale Benefitting THON,Item Sale,Lehigh Valley,113,2/3/2024,2/3/2024,Stabler Arena: 124 GOODMAN DR  BETHLEHEM PA 18015,Approved,100,,Commonwealth,,
"Penn State Lehigh Valley ""3s for THON"" Benefitting THON",Item Sale,Lehigh Valley,113,2/3/2024,2/3/2024,Stabler Arena: 124 GOODMAN DR  BETHLEHEM PA 18015,Denied,100,,Commonwealth,,
Kappa Kappa Gamma x Gemini Jewlery Benefitting THON,Item Sale,Kappa Kappa Gamma,22,2/4/2024,2/4/2024,The Maxxen: 131 HIESTER ST  STATE COLLEGE PA 16801,Approved,200,290,Greek,,
Permanent Bracelets with Delta Zeta Benefitting THON,Item Sale,Delta Zeta DZ & Sigma Pi,39 & 36,2/4/2024,2/4/2024,Delta Zeta Suite - Haller Hall Floor 3:,Approved,200,,Greek,,
Axis Bracelet Sale Benefitting THON,Item Sale,Axis ,1747,2/4/2024,2/5/2024,Willard Building 151:,Canceled,100,,Special Interest,,
Phi Chi Theta Ribbon Sale at The Field Benefitting THON,Item Sale,Phi Chi Theta ,206,2/4/2024,2/4/2024,The Field Burger and Tap: 1 COUNTRY CLUB LN  STATE COLLEGE PA 16803,Approved,50,170,General,,
Alpha Xi Delta Bracelet Fundraiser Benefitting THON,Item Sale,Alpha Xi Delta AXID,31,2/4/2024,2/4/2024,Pugh Centre State College: 150 E BEAVER AVE  STATE COLLEGE PA 16801,Approved,200,0,Greek,,
Penn State Law Friendship Bracelets Benefitting THON,Item Sale,Penn State Law,1552,2/5/2024,2/8/2024,Katz Building Atrium:     ,Approved,45,36,Commonwealth,,
Eberly Student Council THON Weekend Accessories x Benefitting THON,Item Sale,Eberly College of Science Student Council ,140,2/5/2024,2/5/2024,HUB:     ,Approved,100,,General,,
College of EMS Ribbon Sale Benefitting THON,Item Sale,Earth and Mineral Sciences Student Council EMS StuCo,105,2/5/2024,2/9/2024,Ryan Family Student Center:     ,Approved,50,,General,,
Axis Bracelet Sale Benefitting THON,Item Sale,Axis ,1747,2/5/2024,2/13/2024,,Approved,50,20,Special Interest,,
"Sticker, Button, Bracelet Sale x Apollo Benefitting THON",Item Sale,Apollo ,1745,2/5/2024,2/5/2024,022 BBH:,Approved,30,32,Special Interest,,
Ayuda Hair Bow Sale Benefitting THON,Item Sale,Ayuda ,1923,2/5/2024,2/7/2024,316 Nursing Sciences Building:,Approved,25,43,Special Interest,,
Chocolate Covered Strawberries Benefitting THON,Item Sale,American Institute of Architecture Students AIAS,389,2/5/2024,2/9/2024,,Approved,50,225,Greek,,
Italian Student Society x 2000 Degrees Benefitting THON,Item Sale,Italian Student Society ISS,1030,2/5/2024,2/8/2024,2000 Degrees: 202 W COLLEGE AVE  STATE COLLEGE PA 16801,Approved,150,0,NewMC,,
CullyfloweR&Rs Ribbon Sale Benefitting THON,Item Sale,Events Coordinator & Committee Liaison,2373,2/5/2024,2/5/2024,HUB Information Booth:     ,Canceled,50,,joint,,
Mack Madness Candy Gram Fundraiser Benefitting THON,Item Sale,"Mack Madness ""Mackie""",2685,2/5/2024,2/12/2024,,Approved,40,,Special Interest,,
Lindsasaurus R&Rex X Valentine's Day Candy Grams Benefitting THON,Item Sale,Fundraising Outreach 6,2384,2/6/2024,2/6/2024,Lindsasaurus R&Rex CM Meeting:     ,Canceled,100,,joint,,
PSNtv: Sticker Sale X Benefitting THON,Item Sale,Penn State Network Television PSNtv,320,2/6/2024,2/6/2024,HUB:     ,Approved,50,,General,,
Permanent Bracelet Fundraiser Benefitting THON,Item Sale,Altoona,165,2/6/2024,2/6/2024,Penn State Altoona Harry E Slep Student Center:     ,Approved,500,,Commonwealth,,
Whiplash Bracelet Fundraiser Benefitting THON,Item Sale,Whiplash Dance Team,215,2/6/2024,2/8/2024,HUB:     ,Approved,50,,General,,
Thrift Store Benefitting THON,Item Sale,Alpha Sigma Alpha ASA,6,2/6/2024,2/6/2024,HUB:     ,Approved,50,75,Greek,,
Lindsasaurus R&Rex Bracelet & Ribbon Sale Benefitting THON,Item Sale,Fundraising Outreach 6,2384,2/6/2024,2/6/2024,HUB Information Table #5:,Canceled,100,,joint,,
ADPi's Rose Sale Benefitting THON,Item Sale,Alpha Delta Pi ADPi,20,2/7/2024,2/14/2024,Alpha Delta Pi Suite in Cross Hall (Floor 3):,Approved,100,233,Greek,,
Schreyer StuCo Thrift Shop Benefitting THON,Item Sale,Schreyer Honors College Student Council SHC StuCo,1731,2/7/2024,2/7/2024,HUB main lounge table #2:,Approved,100,68.5,General,,
Lionettes Hat Benefitting THON,Item Sale,Dance Team (Lionettes),204,2/7/2024,2/12/2024,,Canceled,500,,General,,
SDT x Alexandra Madison Jewelry Benefitting THON,Item Sale,Sigma Delta Tau,24,2/7/2024,2/7/2024,Connections: 130 S ALLEN ST  STATE COLLEGE PA 16801,Approved,300,0,Greek,,
SDT x Connections Benefitting THON,Item Sale,Sigma Delta Tau,24,2/7/2024,2/7/2024,Connections: 130 S ALLEN ST  STATE COLLEGE PA 16801,Approved,100,0,Greek,,
UPUA General Assesmbly coffee delivery Benefitting THON,Item Sale,University Park Undergraduate Association UPUA,1202,2/7/2024,2/14/2024,UPUA meeting room in hub:     ,Canceled,50,,General,,
Valentine's Day Teddy Bears Impact Benefitting THON,Item Sale,Impact ,1751,2/8/2024,2/8/2024,HUB Information Table 3:,Approved,50,157,Special Interest,,
Delta Sigma Pi Headshots Benefitting THON,Item Sale,Delta Sigma Pi ,85,2/8/2024,2/8/2024,Business Building:     ,Approved,150,350,General,,
Ribbon Sale Benefitting THON,Item Sale,Admin & SL Liaison & THON R&R Event Safety,330 & 538,2/8/2024,2/8/2024,Hub-Robeson Center:     ,Approved,40,29,joint,,
Tapestry Dance Company Flower Sale Benefitting THON,Item Sale,Tapestry Dance Company ,142,2/8/2024,2/8/2024,HUB:     ,Approved,50,86.5,General,,
Lindsasaurus R&Rex Bracelet & Ribbon Sale Benefitting THON,Item Sale,Fundraising Outreach 6,2384,2/8/2024,2/8/2024,HUB Info Tabe #9:,Canceled,100,,joint,,
Charms Benefitting THON,Item Sale,World Campus,1318,2/8/2024,2/8/2024,HUB:     ,Approved,25,15,Commonwealth,,
Volé Craft Night Benefitting THON,Item Sale,Volé,126,2/8/2024,2/8/2024,HUB-Robeson Center:     ,Approved,100,115,General,,
Conner’s McTHONneR&Rs’ Bracelet Making Benefitting THON,Item Sale,Fundraising Outreach 1,2369,2/8/2024,2/8/2024,Agricultural Engineering Building:     ,Approved,85,80,joint,,
FOTO Grilled Cheese Benefitting THON,Item Sale,FOTO ,1336,2/9/2024,2/9/2024,Nittany Apartments:     ,Canceled,50,,Special Interest,,
Candy Grams x Gamma Sigma Sigma Benefitting THON,Item Sale,Gamma Sigma Sigma ,46,2/9/2024,2/9/2024,HUB - Robeson Center: HUB - Robeson Center  University Park PA 16802,Approved,150,40,Greek,,
Club Gymnastics Krispy Kreme Sale Benefitting THON,Item Sale,Club Gymnastics Club Gym,161,2/9/2024,2/12/2024,Krispy Kreme: 511 MOOSIC ST  SCRANTON PA 18505,Approved,100,64,General,,
Phi Chi Theta Ribbon Sale at The Field Benefitting THON,Item Sale,Phi Chi Theta ,206,2/9/2024,2/9/2024,The Field Burger and Tap: 1 COUNTRY CLUB LN  STATE COLLEGE PA 16803,Approved,50,94,General,,
Unison Valentine's Day Sale Benefitting THON,Item Sale,Unison ,3124,2/9/2024,2/14/2024,HUB-Robinson Center:     ,Approved,100,161,General,,
Valentine's Day Fundraiser Benefitting THON,Item Sale,Infinity ,3063,2/9/2024,2/13/2024,,Approved,75,25,Special Interest,,
ConnoR&R Spaniels Ribbon Sale Benefitting THON,Item Sale,THON R&R Event Safety & Training & Development 2,538 & 3195,2/9/2024,2/9/2024,HUB Main Lounge Table #5:,Approved,100,132,joint,,
Ayuda Ribbon Sale Benefitting THON,Item Sale,Ayuda ,1923,2/9/2024,2/9/2024,St. Paul’s United Methodist Church:     ,Approved,65,55,Special Interest,,
SWE Toy Sale Benefitting THON,Item Sale,Society of Women Engineers SWE,57,2/9/2024,2/13/2024,215 Hammond Building:,Approved,50,88,General,,
DAR Sticker Sale Benefitting THON,Item Sale,THON Donor & Alumni Relations Development,453,2/9/2024,2/16/2024,,Approved,30,,joint,,
Ribbon Sale Benefitting THON,Item Sale,Fayette,44,2/9/2024,2/11/2024,Shop N Save: 150 WALNUT HILL RD  UNIONTOWN PA 15401,Approved,1000,,Commonwealth,,
Pillar Candygrams Benefitting THON,Item Sale,Pillar ,1297,2/9/2024,2/9/2024,Alternative Fundraising Chair's Apartment: 870 TOFTREES AVE 313 STATE COLLEGE PA 16803,Approved,30,35,Special Interest,,
Breakfast Sandwich Delivery Benefitting THON,Item Sale,Nittany Dance Project NDP & Theta Chi,102 & 2876,2/10/2024,2/11/2024,Theta Chi House: 523 S ALLEN ST  STATE COLLEGE PA 16801,Canceled,200,,Greek,,
Penn State CHAARG Headbands Benefitting THON,Item Sale,"Changing Health, Attitudes, and Actions To Recreate Girls at Penn State CHAARG",2098,2/10/2024,2/10/2024,Williard Building 260:,Approved,100,145,General,,
PR stickers Benefitting THON,Item Sale,THON Public Relations,1008,2/10/2024,2/12/2024,,Canceled,40,,joint,,
Sigma Kappa Clothing Sale Benefitting THON,Item Sale,Sigma Kappa,35,2/11/2024,2/11/2024,Thomas 100:,Approved,200,37,Greek,,
SDT x Phi Who Pancake Breakfast Benefitting THON,Item Sale,Phi Kappa Theta & Sigma Delta Tau,24 & 49,2/11/2024,2/11/2024,Phi Kappa Theta: 338 E FAIRMOUNT AVE  STATE COLLEGE PA 16801,Approved,300,995,Greek,,
Phi Chi Theta Ribbon Sale at The Field Benefitting THON,Item Sale,Phi Chi Theta ,206,2/11/2024,2/11/2024,The Field Burger and Tap: 1 COUNTRY CLUB LN  STATE COLLEGE PA 16803,Approved,50,62,General,,
Boulevard Bandana and Bag Sale Benefitting THON,Item Sale,Boulevard BLVD,1784,2/11/2024,2/11/2024,"Jade Hofman, Boulevard Fundraising Captain's Apartment: 301 S PUGH ST Apt 604 STATE COLLEGE PA 16801",Approved,50,67,General,,
Phi Sigma Rho & Chi Phi Super Bowl Squares Benefitting THON,Item Sale,Chi Phi & Phi Sigma Rho Phi Rho,81 & 160,2/11/2024,2/11/2024,,Canceled,200,,Greek,,
HEAL Soup Fundraiser Benefitting THON,Item Sale,HEAL: Help Every Angel Live ,1540,2/11/2024,2/11/2024,Kaileigh's apartment: 223 W HAMILTON AVE  STATE COLLEGE PA 16801,Canceled,80,,Special Interest,,
Boulevard Valentine's Candy Grams Benefitting THON,Item Sale,Boulevard BLVD,1784,2/11/2024,2/11/2024,Madisen Ilgenfritz: 646 E COLLEGE AVE APT 406  STATE COLLEGE PA 16801,Approved,50,75,General,,
Club Cheer and Delta Sigma Phi Beads Benefitting THON,Item Sale,Cheerleading Club Club Cheer & Delta Sigma Phi,13 & 321,2/11/2024,2/11/2024,Delta Sigma Phi House: 508 LOCUST LN  STATE COLLEGE PA 16801,Approved,100,,Greek,,
Pin Sale Benefitting THON,Item Sale,Club Sailing  & Dance Alliance PSDA,408 & 1553,2/11/2024,2/14/2024,,Canceled,30,,General,,
Axis Lion Shrine Benefitting THON,Item Sale,Axis ,1747,2/12/2024,2/12/2024,The Nittany Lion Shrine:     ,Canceled,150,,Special Interest,,
Penn State Law Last Chance Donations (Ribbon Sale) Benefitting THON,Item Sale,Penn State Law,1552,2/12/2024,2/14/2024,Katz Building Atrium:     ,Approved,15,15.25,Commonwealth,,
Sigma Kappa x Fiji Chocolate Covered Strawberries Sale Benefitting THON,Item Sale,Phi Gamma Delta & Sigma Kappa,35 & 19,2/12/2024,2/12/2024,,Approved,300,351,Greek,,
NDP x Theta Chi DIY Valentine's Flower Bouquet Benefitting THON,Item Sale,Nittany Dance Project NDP & Theta Chi,102 & 2876,2/12/2024,2/13/2024,HUB:     ,Approved,200,173,Greek,,
Penn State Cheerleading Bow Sales Benefitting THON,Item Sale,Penn State Cheerleading Team,259,2/12/2024,2/15/2024,HUB Robinson Center: 201 Old Main  University Park PA 16802,Approved,300,125,General,,
HEALentines Benefitting THON,Item Sale,HEAL: Help Every Angel Live ,1540,2/12/2024,2/12/2024,Willard Building:     ,Approved,10,82.67,Special Interest,,
Nittany Lion Kissing Booth Benefitting THON,Item Sale,Penn State Cheerleading Team,259,2/12/2024,2/12/2024,HUB-Robeson Center:     ,Canceled,250,,General,,
SFO X DKA Candygrams Benefitting THON,Item Sale,Delta Kappa Alpha DKA & Student Film Organization SFO,2665 & 2675,2/12/2024,2/16/2024,Carnegie Building:     ,Action Needed,80,,General,,
Alpha Chi Rho Ribbon Sale Benefitting THON,Item Sale,Alpha Chi Rho AXP,116,2/12/2024,2/12/2024,HUB Information Table PRCC:     ,Approved,100,83,Greek,,
Kappa Alpha Theta Kisses for a Cure Fundraiser Benefitting THON,Item Sale,Kappa Alpha Theta,14,2/12/2024,2/12/2024,THON Chair's Apartment: 141 S GARNER ST  STATE COLLEGE PA 16801,Approved,250,165,Greek,,
Alpha Kappa Psi Valentines Day Candy Grams Benefitting THON,Item Sale,Alpha Kappa Psi ,61,2/12/2024,2/13/2024,,Approved,500,782,General,,
PLL x Yerbae Candy Grams Benefitting THON,Item Sale,Lyrical Line Dance Company PLL ,79,2/12/2024,2/14/2024,,Approved,60,123,General,,
ServeState Ribbon Sale Benefitting THON,Item Sale,Servestate: Students For Philanthropy ServeState,546,2/12/2024,2/12/2024,HUB:     ,Approved,50,133,General,,
R&R Sticker Fundraiser Sale Benefitting THON,Item Sale,THON R&R Fundraising Safety,2245,2/12/2024,2/12/2024,,Approved,100,,joint,,
Phi Beta Lambda Pasta Dinner Benefitting THON,Item Sale,Phi Beta Lambda,1029,2/12/2024,2/12/2024,,Approved,100,100,General,,
ODC Valentines's Day Candy Grams Benefitting THON,Item Sale,Orchesis Dance Company ODC,124,2/12/2024,2/14/2024,,Approved,50,25,General,,
PotatoGrams with Atlas Benefitting THON,Item Sale,Atlas ,312,2/12/2024,2/12/2024,HUB Robenson Center:     ,Approved,50,1544,Special Interest,,
CullyfloweR&Rs Ribbon Sale Benefitting THON,Item Sale,Events Coordinator & Committee Liaison,2373,2/13/2024,2/13/2024,HUB Information Booth:     ,Approved,55,22,joint,,
