fundraiser_name,fundraiser_type,organizations,public_numbers,start_date,end_date,address,status,expected_donation,credited,org_type,,
100 Days Personalized Bows X Benefitting THON,100 Days 'Til THON Alternative Fundraiser,Eberly College of Science Student Council ,140,11/8/2023,11/8/2023,The Hub-Robeson Center:     ,Denied,200,,General,,
Used Clothing Sale Benefitting THON,Item Sale,Maggie Fechtman and Maddie Shine (2024),3071,9/17/2023,9/17/2023,Pugh Centre: 150 E BEAVER AVE  STATE COLLEGE PA 16801,Approved,100,100,Independent Couple,,
100 Days Everyday Beach Tote Bag Sale x Benefitting THON,100 Days 'Til THON Alternative Fundraiser,Everyday Benefitting THON Everyday,1194,11/8/2023,11/8/2023,HUB:     ,Denied,50,,Special Interest,,
100 Days til' THON™ Axis Seashell Spectacle Benefitting THON,100 Days 'Til THON Alternative Fundraiser,Axis ,1747,11/8/2023,11/8/2023,HUB Robeson Center:     ,Denied,500,,Special Interest,,
Instagram BINGO Board Benefitting THON,100 Days 'Til THON Alternative Fundraiser,Brianna Lewis and Makenna Shields (2024),3107,9/18/2023,9/18/2023,,Denied,90,,Independent Couple,,
Build Your Own Pasta Benefitting THON,Benefit Dinner,Julia Krieder and Katie Fink (2024),3087,9/18/2023,9/18/2023,The Graduate - Julia Kreider: 138 S ATHERTON ST  STATE COLLEGE PA 16801,Denied,200,,Independent Couple,,
Oceans Calling Music Festival Ticket Sale Benefitting THON,Item Sale,Maggie Fechtman and Maddie Shine (2024),3071,9/18/2023,9/28/2023,,Canceled,210,,Independent Couple,,
Gab and Ashtyn's IDC X Coffee Stand Benefitting THON,Item Sale,Ashtyn Webb and Gab Zuckerman (2024),3089,9/18/2023,9/18/2023,HUB-Robeson Center:     ,Denied,240,,Independent Couple,,
Sigma Kappa and Phi Gamma Delta 100 Days 'Til THON Fundraiser Benefitting THON,100 Days 'Til THON Alternative Fundraiser,Phi Gamma Delta & Sigma Kappa,35 & 19,11/8/2023,11/8/2023,The Hub:     ,Denied,300,,Greek,,
Pasta Party Benefitting THON,Benefit Dinner,Sammy Topkis and Alexis Mason (2024),3092,9/20/2023,9/20/2023,Sammy Topkis: 532 E COLLEGE AVE Apartment 903 STATE COLLEGE PA 16801,Approved,300,305,Independent Couple,,
Rainbow Sand Art Station Benefitting THON,100 Days 'Til THON Alternative Fundraiser,Club Sailing  & Dance Alliance PSDA,408 & 1553,11/8/2023,11/8/2023,HUB:     ,Denied,100,,General,,
100 Days til THON Digging for Diamonds Benefitting THON,100 Days 'Til THON Alternative Fundraiser,Acacia & Gamma Phi Beta,16 & 7,11/8/2023,11/8/2023,HUB-Robeson Center:     ,Denied,50,,greek,,
Alexa and Kayla Bake Sale and Ribbon Sale Benefitting THON,Bake Sale,Alexa Breisch and Kayla Breisch (2024),3108,9/21/2023,9/21/2023,"Student Bookstore, Inc:     ",Approved,100,122,Independent Couple,,
Beach in a Jar x Circle K 100 Days Fundraiser Benefitting THON,100 Days 'Til THON Alternative Fundraiser,Circle K ,84,11/8/2023,11/8/2023,HUB:     ,Denied,100,,General,,
Treasure Chest 100 Days x Apollo Benefitting THON,100 Days 'Til THON Alternative Fundraiser,Apollo ,1745,11/8/2023,11/8/2023,HUB:     ,Approved,200,85,Special Interest,,
Vibe Coffee Benefitting THON,Restaurant Fundraiser,Jill Getty and Ellie Sams (2024),3075,9/21/2023,9/21/2023,Vibe Coffee: 401 W BEAVER AVE  STATE COLLEGE PA 16801,Approved,200,,Independent Couple,,
Emily Martin and Danielle Manni X Ice Bath Challenge Benefitting THON,Sporting Event,Emily Martin and Danielle Manni (2024),3152,9/22/2023,9/22/2023,Beaver Gardens: 525 E BEAVER AVE  STATE COLLEGE PA 16801,Approved,100,272,Independent Couple,,
Pi Beta Phi and Sigma Phi Epsilon Shell Guessing Competition Benefitting THON,100 Days 'Til THON Alternative Fundraiser,Pi Beta Phi Pi Phi,18,11/8/2023,11/8/2023,The HUB:     ,Denied,400,,Greek,,
Ohana X 100 Days Beach Snacks Sale Benefitting THON,100 Days 'Til THON Alternative Fundraiser,Ohana ,1161,11/8/2023,11/8/2023,HUB:     ,Denied,50,,Special Interest,,
Penn State CHAARG X 100 Days Benefitting THON,100 Days 'Til THON Alternative Fundraiser,"Changing Health, Attitudes, and Actions To Recreate Girls at Penn State CHAARG",2098,11/8/2023,11/8/2023,HUB:     ,Canceled,100,,General,,
Penn State CHAARG X 100 Days Benefitting THON,100 Days 'Til THON Alternative Fundraiser,"Changing Health, Attitudes, and Actions To Recreate Girls at Penn State CHAARG",2098,11/8/2023,11/8/2023,HUB:     ,Canceled,100,,General,,
Penn State DuBois 100 Days Benefitting THON,100 Days 'Til THON Alternative Fundraiser,Dubois,166,11/8/2023,11/8/2023,Penn State DuBois:     ,Approved,300,422.45,Commonwealth,,
Penn State York 100 Days Til THON Celebration Benefitting THON,100 Days 'Til THON Alternative Fundraiser,York,170,11/8/2023,11/8/2023,Penn State York:     ,Approved,20,,Commonwealth,,
"Penn State Scranton Bracelet, Bow, and Headband Sale Benefitting THON",100 Days 'Til THON Alternative Fundraiser,Scranton,171,11/8/2023,11/8/2023,Penn State Scranton:     ,Approved,75,70,Commonwealth,,
Paige Blankenhorn x Ella Palmieri Benefitting THON,Item Sale,Ella Palmieri and Paige Blankenhorn (2024),3084,9/23/2023,9/23/2023,352 E College Ave B:,Approved,300,,Independent Couple,,
Altoona Pie an ABT Member Benefitting THON,100 Days 'Til THON Alternative Fundraiser,Altoona,165,11/10/2023,11/10/2023,Penn State Altoona: 3000 IVYSIDE PARK  ALTOONA PA 16601,Approved,50,283,Commonwealth,,
Gameday Button Sale Benefitting THON,Item Sale,Danielle Valletti and Haley Begany (2024),3081,9/23/2023,9/23/2023,HUB Information Table #4:,Approved,375,270,Independent Couple,,
